Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
mmc011ne;MESA COMEDOR MINI BROOKLYN - NEGRO;Muebles > Mesa de Comedor, Navidad > Mesas\, bares y consolas > Mesas de comedor;;;;;;;207,990.00;;8.00;30.00;50.00;50.00;MMC011NE;MMC011NE;SI;NO;MMC011;;;;SI;;;;
doc194;AMAZONA SMALL;Decoracion > Canastos, Navidad > Decoracion navideña;;;;;;;16,890.00;;0.20;5.00;5.00;5.00;DOC194SG;DOC194SG;SI;NO;DOC194;;;;SI;;;;
doc193;AMAZONA MEDIUM;Decoracion > Canastos;;;;;;;24,490.00;;0.20;5.00;5.00;5.00;DOC193SG;DOC193SG;SI;NO;DOC193;;;;SI;;;;
doc192;AMAZONA LARGE;Decoracion > Canastos;;;;;;;38,390.00;;0.20;5.00;5.00;5.00;DOC192SG;DOC192SG;SI;NO;DOC192;;;;SI;;;;
bte100;PACK X25 SERVILLETAS FRIENDS AND FAMILY;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;4,190.00;;0.20;5.00;5.00;5.00;BTE100BL;BTE100BL;SI;NO;BTE100;;;;SI;;;;
bte099;PACK X25 SERVILLETAS HAPPY TIMES;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;4,490.00;;0.20;5.00;5.00;5.00;BTE099BL;BTE099BL;NO;NO;BTE099;;;;SI;;;;
bca064;FOSFOROS LARGOS WINNY;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;7,090.00;;0.20;5.00;5.00;5.00;BCA064MA;BCA064MA;SI;NO;BCA064;;;;SI;;;;
dfp146;GUIRNALDA EUCALIPTO;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;8,590.00;;0.20;5.00;5.00;5.00;DFP146VE;DFP146VE;SI;NO;DFP146;;;;SI;;;;
bte101;PACK X12 SERVILLETAS HAPPINESS;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;5,590.00;;0.20;5.00;5.00;5.00;BTE101MA;BTE101MA;SI;NO;BTE101;;;;SI;;;;
BTE111;KIT X2 REPASADORES;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;9,590.00;;0.20;5.00;5.00;5.00;BTE111NT;BTE111NT;NO;NO;BTE111;;;;SI;;;;
bte110;MANTEL GOLDEN LINE;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;33,990.00;;0.20;5.00;5.00;5.00;BTE110DO;BTE110DO;SI;NO;BTE110;;;;SI;;;;
BCF070;BANDEJA LORY 20 X 10 CM;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;3,890.00;;0.20;5.00;5.00;5.00;BCF070TE;BCF070TE;NO;NO;BCF070;;;;SI;;;;
bcf069;BANDEJA LORY 24 X 12 CM;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;5,690.00;;0.20;5.00;5.00;5.00;BCF069TE;BCF069TE;SI;NO;BCF069;;;;SI;;;;
bcv110;PLATO PLAYO LORY;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;6,290.00;;0.20;5.00;5.00;5.00;BCV110TE;BCV110TE;SI;NO;BCV110;;;;SI;;;;
bcv109;BOWL LORY;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;1,590.00;;0.20;5.00;5.00;5.00;BCV109TE;BCV109TE;SI;NO;BCV109;;;;SI;;;;
bcv108;BOWL LORY BOWL 14 X 10 CM;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;1,590.00;;0.20;5.00;5.00;5.00;BCV108TE;BCV108TE;SI;NO;BCV108;;;;SI;;;;
bcf068;BANDEJA GRAND 28 X 14 CM;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;6,390.00;;0.20;5.00;5.00;5.00;BCF068TE;BCF068TE;SI;NO;BCF068;;;;SI;;;;
bcf067;BANDEJA GRAND 20 X 17 CM;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;4,690.00;;0.20;5.00;5.00;5.00;BCF067TE;BCF067TE;SI;NO;BCF067;;;;SI;;;;
BCF066;BANDEJA GRAND 27,5 X 21 CM;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;5,790.00;;0.20;5.00;5.00;5.00;BCF066GB;BCF066GB;NO;NO;BCF066;;;;SI;;;;
bca060;HIELERA MAITLAND;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;35,990.00;;0.20;5.00;5.00;5.00;BCA060NE;BCA060NE;SI;NO;BCA060;;;;SI;;;;
bca032;HIELERA MAITLAND;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;36,290.00;;0.20;5.00;5.00;5.00;BCA032BL;BCA032BL;SI;NO;BCA032;;;;SI;;;;
bcv105;PLATO DE POSTRE BATAM;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;8,590.00;;0.20;5.00;5.00;5.00;BCV105VE;BCV105VE;SI;NO;BCV105;;;;SI;;;;
bcv104;PLATO PLAYO BATAM;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;11,590.00;;0.20;5.00;5.00;5.00;BCV104VE;BCV104VE;SI;NO;BCV104;;;;SI;;;;
bte112;PLATO DE SITIO CHRISTMAS;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;9,290.00;;0.20;5.00;5.00;5.00;BTE112NV;BTE112NV;SI;NO;BTE112;;;;SI;;;;
bte124;SERVILLETA;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;4,790.00;;0.20;5.00;5.00;5.00;BTE124BB;BTE124BB;SI;NO;BTE124;;;;SI;;;;
bte123;SERVILLETA;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;4,290.00;;0.20;5.00;5.00;5.00;BTE123BO;BTE123BO;SI;NO;BTE123;;;;SI;;;;
bcv114;PLATO DE POSTRE PEACE;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;9,090.00;;0.20;5.00;5.00;5.00;BCV114PC;BCV114PC;SI;NO;BCV114;;;;SI;;;;
bte105;PACK X12 PERSONALIZADORES NAMES;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;1,690.00;;0.20;5.00;5.00;5.00;BTE105MA;BTE105MA;SI;NO;BTE105;;;;SI;;;;
bte109;MANTEL BORDO FRONT;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;27,890.00;;0.20;5.00;5.00;5.00;BTE109BO;BTE109BO;SI;NO;BTE109;;;;SI;;;;
bte116;SET X4 SERVILLETEROS OTOÑO;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;12,890.00;;0.20;5.00;5.00;5.00;BTE116VE;BTE116VE;SI;NO;BTE116;;;;SI;;;;
bcu056;SET DE CUBIERTOS X3 ALBI;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;12,390.00;;0.20;5.00;5.00;5.00;BCU056PL;BCU056PL;SI;NO;BCU056;;;;SI;;;;
bte122;SET X4 SERVILLETAS LEEDS;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;19,890.00;;0.20;5.00;5.00;5.00;BTE122NE;BTE122NE;SI;NO;BTE122;;;;SI;;;;
bte115;PACK X40 SERVILLETAS CHRISTMAS;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;4,590.00;;0.20;5.00;5.00;5.00;BTE115MA;BTE115MA;SI;NO;BTE115;;;;SI;;;;
bcv033;PLATO DE POSTRE OKAYAMA;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;7,590.00;1,990.00;0.20;5.00;5.00;5.00;BCV033GR;BCV033GR;SI;NO;BCV033;;;;SI;;;;
bcv032;PLATO PLAYO OKAYAMA;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;9,190.00;2,990.00;0.20;5.00;5.00;5.00;BCV032BL;BCV032BL;SI;NO;BCV032;;;;SI;;;;
bcv060;PLATO CHICO BEKASI;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;3,490.00;;0.20;5.00;5.00;5.00;BCV060DO;BCV060DO;SI;NO;BCV060;;;;SI;;;;
bcv062;BOWL BEKASI S;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;7,190.00;;0.20;5.00;5.00;5.00;BCV062DO;BCV062DO;SI;NO;BCV062;;;;SI;;;;
bte095;SET X4 SERVILLETAS KALIZ;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;Color;Verde;;;;;10,090.00;;0.20;5.00;5.00;5.00;BTE095VE;;SI;NO;BTE095;;;;SI;;;;
bte095;;;Color;Natural;;;;;10,090.00;;0.20;5.00;5.00;5.00;BTE095NT;;;;;;;;;;;;
bte095;;;Color;Gris;;;;;10,090.00;;0.20;5.00;5.00;5.00;BTE095GR;;;;;;;;;;;;
bcv112;PLATO DE POSTRE DOOLIN;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;9,290.00;;0.20;5.00;5.00;5.00;BCV112NT;BCV112NT;SI;NO;BCV112;;;;SI;;;;
bcv111;PLATO PLAYO DOOLIN;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;13,590.00;;0.20;5.00;5.00;5.00;BCV111NT;BCV111NT;SI;NO;BCV111;;;;SI;;;;
bcf071;BEKASI;Bazar > Comedor > Platos y Bowls, Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;15,090.00;;0.20;5.00;5.00;5.00;BCF071DO;BCF071DO;SI;NO;BCF071;;;;SI;;;;
alfombra-lomond;ALFOMBRA LOMOND;Textil > Alfombra baño, Decoracion > Baño;;;;;;;41,690.00;;0.00;0.00;0.00;0.00;BOA004GO;;SI;NO;BOA004;;;;SI;;;;
nad115ma;BOTA DE NAVIDAD ARPILLERA;Navidad > Decoracion navideña;;;;;;;12,290.00;;0.20;5.00;5.00;5.00;NAD115MA;NAD115MA;SI;NO;NAD115;;;;SI;;;;
nad114ma;BASE DE ARBOL ARPILLERA;Navidad > Adornos para el arbol > Punteras / Bases de arbol, Navidad > Decoracion navideña;;;;;;;15,690.00;;0.20;5.00;5.00;5.00;NAD114MA;NAD114MA;SI;NO;NAD114;;;;SI;;;;
nad113ve;MINI PINO 45CM;Navidad > Decoracion navideña;;;;;;;8,890.00;;0.20;5.00;5.00;5.00;NAD113VE;NAD113VE;SI;NO;NAD113;;;;SI;;;;
NAD108VE;BERRIES;Navidad > Decoracion navideña;;;;;;;5,990.00;;0.20;5.00;5.00;5.00;NAD108VE;NAD108VE;NO;NO;NAD108;;;;SI;;;;
NAD107VE;BERRY PLANT;Navidad > Decoracion navideña;;;;;;;2,690.00;;0.20;5.00;5.00;5.00;NAD107VE;NAD107VE;NO;NO;NAD107;;;;SI;;;;
nad102ma;RUSTICA;Navidad > Decoracion navideña, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;6,490.00;;0.20;5.00;5.00;5.00;NAD102MA;NAD102MA;SI;NO;NAD102;;;;SI;;;;
nad101ve;CHRISTMAS BABY TREE;Navidad > Decoracion navideña;;;;;;;22,190.00;;0.20;5.00;5.00;5.00;NAD101VE;NAD101VE;SI;NO;NAD101;;;;SI;;;;
nad098do;PUNTAL ORO;Navidad > Adornos para el arbol > Punteras / Bases de arbol, Navidad > Decoracion navideña;;;;;;;40,690.00;;0.20;5.00;5.00;5.00;NAD098DO;NAD098DO;SI;NO;NAD098;;;;SI;;;;
